,Nr,Gebiet,gehört zu,Christlich Demokratische Union Deutschlands,Sozialdemokratische Partei Deutschlands,Alternative für Deutschland,Freie Demokratische Partei,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,Christlich-Soziale Union in Bayern e.V.,FREIE WÄHLER,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",PARTEI MENSCH UMWELT TIERSCHUTZ,Nationaldemokratische Partei Deutschlands,Piratenpartei Deutschland,Ökologisch-Demokratische Partei,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",DEMOKRATIE IN BEWEGUNG,Bayernpartei,"Allianz für Menschenrechte, Tier- und Naturschutz",Marxistisch-Leninistische Partei Deutschlands,Partei für Gesundheitsforschung,Menschliche Welt - für das Wohl und Glücklichsein aller,Deutsche Kommunistische Partei,Die Grauen – Für alle Generationen,Bürgerrechtsbewegung Solidarität,Partei der Humanisten,Gartenpartei,Die Urbane. Eine HipHop Partei,"Sozialistische Gleichheitspartei, Vierte Internationale",Basisdemokratische Partei Deutschland,Bündnis C - Christen für Deutschland,Bürgerbewegung für Fortschritt und Wandel,DER DRITTE WEG,diePinken/BÜNDNIS21,Europäische Partei LIEBE,Liberal-Konservative Reformer,Partei des Fortschritts,">> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –",Südschleswigscher Wählerverband,Team Todenhöfer – Die Gerechtigkeitspartei,UNABHÄNGIGE für bürgernahe Demokratie,Volt Deutschland,Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen,"bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken",DIE SONSTIGEN - X,Familien-Partei Deutschlands,Graue Panther,Klimaliste Baden-Württemberg,Thüringer Heimatpartei,Übrige
132,123.0,Gelsenkirchen,5,21954,44965,15555,9014,3559,11286,,1054,1904,,,,,,,,,356,,,,,,,,,,1118,,,,,,,,,,,,,,,,,,,,319
133,124.0,Steinfurt I – Borken I,5,62322,44047,8482,14515,3699,18743,,1473,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,125.0,Bottrop – Recklinghausen III,5,39834,57560,14075,11352,3887,15144,,,3283,,,,,,,,,108,,,514,,,,,,,1373,,,,,,226,,,,,,,,,,,,,,
135,126.0,Borken II,5,70334,40851,7909,13404,3928,20028,,1650,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,127.0,Coesfeld – Steinfurt II,5,65402,40145,7241,12409,4242,27069,,1858,,,,,,,,,,,,,,,,,,,,1580,,,,,,,,,,,,,,,,,,,,
137,128.0,Steinfurt III,5,52445,48068,8785,11394,4611,23978,,986,2062,,,,,,,,,,,,,,,,,,,1281,,,,,,,,,,,,,,,,,,,,733
138,129.0,Münster,5,51096,47047,5234,13038,7078,63160,,966,2283,,,,897,,,,,,,,179,,,,,,,1582,,,,,,,,,,,,2505,,,,,,,,230
139,130.0,Warendorf,5,59631,50685,10211,12768,4074,21245,,,2772,,,,497,,,,,,,,,,,,,,,1773,,,,,,,,,,,,,,,,,,,,709
140,131.0,Gütersloh I,5,71185,45878,12812,13507,4284,22851,,2083,3149,,,,,,,,,,,,,,,,,,,2067,,,,,,,,,,,,,,,,,,,,306
141,132.0,Bielefeld – Gütersloh II,5,40928,55234,12294,17793,9905,40015,,,3966,,,,,,,,,153,,,,,,,,,,2655,,,,,,,,,,,,921,,,,,,,,
142,133.0,Herford – Minden-Lübbecke II,5,45138,61554,15855,14021,5332,18090,,1967,3440,,,,,,,,,,,,,,,,,,,2187,,,,,,,,,,,,,,,,,,,,1234
143,134.0,Minden-Lübbecke I,5,39679,58168,13445,12494,3940,15886,,2098,2648,,,,,,,,,,,,,,,,,,,1974,1184,,,,,,,,,,,,,,,,,,,
144,135.0,Lippe I,5,44650,52359,16221,16648,5283,26932,,2171,3070,,,,,,,,,,,,,,,,,,,2936,,,,,,235,,,,,,,,,,,,,,
145,136.0,Höxter – Gütersloh III – Lippe II,5,53294,37210,11244,9462,3345,12685,,1529,2429,,,,,,,,,,,,,,,,,,,1732,,,,,,,,,,,,,,,,,,,,
146,137.0,Paderborn,5,84669,33513,13152,9845,5532,22926,,1443,3459,,,,,,,,,,,,,,,,,,,2298,,,,,,,,,,,,,,,,,,,,
147,138.0,Hagen – Ennepe-Ruhr-Kreis I,5,37718,47581,14419,13531,4552,17954,,2122,2830,,,,,,,,,185,,,,,,,,,,1399,,,,,,,,,,,,,,,,,,,,809
148,139.0,Ennepe-Ruhr-Kreis II,5,33357,47993,9731,11530,3715,21734,,1466,2558,,,1434,,,,,,186,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,
149,140.0,Bochum I,5,32962,58235,,13657,9361,28288,,,4700,,,,,,,,,530,,,,,,488,,,,3846,,,,,,,,,,,,,,,,,,,,
150,141.0,Herne – Bochum II,5,24027,52792,11863,8455,4667,14262,,1423,2550,,,,,,,,,220,,,,,,,,,,1251,,,,,,,,,,,,,,,,,,,,
151,142.0,Dortmund I,5,30051,51037,10577,10416,5908,26308,,935,13361,3097,,,,,,,,151,,,113,,,,,,,1226,,,,,,,,,,,,660,,,,,,,,876
152,143.0,Dortmund II,5,28897,55695,11816,10270,5823,21028,,1318,3446,3589,,,,,,,,139,,,111,,,,,,,,,,,,,,,,,,,425,,,,,,,,
153,144.0,Unna I,5,36810,59869,11736,9137,4731,20340,,1967,,,,,,,,,,185,,,,,,,,,,1451,,,,,,,,,,,,,,,,,,,,535
154,145.0,Hamm – Unna II,5,44266,67774,15562,12058,6285,16958,,2610,,,,,,,,,,,,,,,,,,,,1539,,,,,,,,,,,,,,,,,,,,
155,146.0,Soest,5,58791,54614,13992,17826,5548,22154,,2017,,,,,,,,,,,,,,,,,,,,2507,,,,,,,,,,,,,,,,,,,,
156,147.0,Hochsauerlandkreis,5,62810,50056,10068,10806,2685,12478,,2224,2909,,,,,,,,,,,,,,,,,,,1381,,,,,,,,,,,,,,,,,,,,
157,148.0,Siegen-Wittgenstein,5,54042,48897,14424,13586,4900,16624,,1868,3385,,,,,,,,,,,,,,,,,,,2215,,,,,,,,,,,,836,,,,,,,,49
158,149.0,Olpe – Märkischer Kreis I,5,56879,45366,13104,15944,3935,13645,,2269,,,,,,,,,,,,,221,,,,,,,2021,,,,,,,,,,,,,,,,,,,,
159,150.0,Märkischer Kreis II,5,47937,43346,12933,12749,4668,12866,,2004,,4382,,,,,,,,,,,,,,,,,,1575,,,,,,,,,,,,,,,,,,,,
161,151.0,Nordsachsen,14,26883,22257,32702,10251,9446,5883,,4707,2069,,,,416,,,,,,,,,,,,,,,1716,,,,,,,,,,,,,,,,,,,,1335
162,152.0,Leipzig I,14,34107,33588,26450,13397,25436,19778,,3296,4242,,,,497,,,,,283,,,,,,896,,,,2275,,,,,,,,,,,,,,,,,,,,1882
163,153.0,Leipzig II,14,29538,29731,20667,13271,40938,32995,,2591,4374,,,923,635,,,,,273,,,,,,573,,,,2786,,,,,,,,,,,,,,,,,,,,164
164,154.0,Leipzig-Land,14,39066,31989,39348,15698,12672,8056,,6081,3187,,,,480,,,,,,,,,,,,,,,3145,,,,,,,,,,,,,,,,,,,,519
165,155.0,Meißen,14,32924,22771,45705,13727,10344,7590,,7271,3149,,,,943,,,,,,,,,,,,,,,2769,,,,,,244,,,,,,,,,,,,,,
166,156.0,Bautzen I,14,40929,21006,52492,12634,14134,4090,,5341,3398,,,,,,,,,,,,,,,,,,,2644,,,,,,467,,,,,,,,,,,,,,
167,157.0,Görlitz,14,39299,18928,53970,11222,11835,6182,,4588,,,,,,,,,,,,,,,,,,,,4115,,,,,,417,,,,,,,,,,,,,,267
168,158.0,Sächsische Schweiz-Osterzgebirge,14,29176,17505,50203,12920,15215,6830,,8450,,,,,848,,,,,,,,,,,,,,,3161,,,,,,,,,,,,,,,,,,,,7731
169,159.0,Dresden I,14,37811,26271,33780,18588,33872,17137,,,3684,,,2011,1164,,,,,227,,,,,,763,,,,2527,477,,,,,,,,,,,,,,,,,,,1231
170,160.0,Dresden II – Bautzen II,14,35014,28700,34979,20711,22160,25527,,3309,4292,,,2694,1054,,,,,298,1366,,,,210,,,,,3726,,,,,,,,,,,,,,,,,,,,3720
171,161.0,Mittelsachsen,14,34638,25727,48725,14420,12164,5398,,,,,,,1259,,,,,,,,,,,,,,,3397,,,,,,,,,,,,,,,,,,,,
172,162.0,Chemnitz,14,25801,34958,30502,13934,15229,9934,,,3997,,,,679,622,,,,,,,,,,,,,,2492,,,,,,,,,,,,,,,,,,,,1181
173,163.0,Chemnitzer Umland – Erzgebirgskreis II,14,32111,23181,39264,11872,11330,5617,,6642,2724,,,,805,,,,,,,,,,,,,,,2213,,,,,,,,,,,,,,,,,,,,
174,164.0,Erzgebirgskreis I,14,40550,23650,50571,11914,12787,4001,,8210,2422,,,,,520,,,,,,,,,,,,,,2313,2069,,,,,,,,,,,,,,,,,,,488
175,165.0,Zwickau,14,30798,24094,37135,13991,22583,5988,,6105,,,,,474,,,,,,,,,,,,,,,3975,,,,,,,,,,,,,,,,,,,,145
176,166.0,Vogtlandkreis,14,37637,26413,36388,11512,12655,6378,,,,,,,970,,,,,,,,,,,,,,,2339,,,515,,,667,,,,,,,,,,,,,,277
178,167.0,Waldeck,6,35734,51613,12536,12062,4208,13581,,3763,,,,,,,,,,,,,,,,,,,,1626,,,,,,,,,,,,,,,,,,,,867
179,168.0,Kassel,6,32765,57919,11348,12966,9357,27744,,2563,2876,,,,,,,,,244,,,,,,,,,,2012,299,,,,,,,,,,,,,,,,,,,503
180,169.0,Werra-Meißner – Hersfeld-Rotenburg,6,34527,56383,14204,7135,3890,8032,,3160,,,,,,,,,,,,,,,,,,,,1430,,,,172,,,,,,,,,,,,,,,,107
181,170.0,Schwalm-Eder,6,33443,54792,14380,12234,3761,12360,,4112,2024,,,,,,,,,,,,,,,,,,,1451,262,,,,,,,,,,,,,,,,,,,435
182,171.0,Marburg,6,36528,51630,12591,9334,6588,18709,,2178,,,,,,,,,,,,,,,,,,,,2146,,,,,,,,,,,,,,,,,,,,374
183,172.0,Lahn-Dill,6,45441,49923,15816,12060,4756,13754,,4579,2417,,,,,,,,,,,,,,,,,,,2040,,,,,,,,,,,,,,,,,,,,259
184,173.0,Gießen,6,47283,48514,14496,12109,6339,21249,,4595,3003,,,,,,,,,,,,233,,,,,,,1954,,,,,,,,,,,,,,,,,,,,
185,174.0,Fulda,6,61573,35168,24508,13894,4648,13833,,4442,,,,,,,,,,,,,,,,,,,,2619,460,,,,,,,,,,,,,,,,,,,520
186,175.0,Main-Kinzig – Wetterau II – Schotten,6,37118,41160,17586,15098,4078,12691,,4939,,,,,,,,,,,,,,,,,,,,2214,,,,,,,,,,,,,,,,,,,,
187,176.0,Hochtaunus,6,44549,38424,10709,16132,3772,21769,,3369,,,,1385,,,,,,,,,,,,,,,,2347,,,,,,,,,,,,,,,,,,,,
188,177.0,Wetterau I,6,38807,40618,11318,15000,3904,18996,,4238,,,,1633,,,,,,,,,,,,,,,,2411,,,,,,,,,,,,,,,,,,,,
189,178.0,Rheingau-Taunus – Limburg,6,51318,48441,13547,18126,4563,24418,,6103,,,,,,,,,,,,,,,,,,,,2671,332,,,,,,,,,,,,,,,,,,,461
190,179.0,Wiesbaden,6,35375,34750,9192,13995,6652,25811,,1602,1559,,,742,,,,,,,,,,,123,472,,,,2327,,,,,,103,,,,,,1904,,,,,,,,
191,180.0,Hanau,6,36019,40291,13364,13106,4462,15995,,3308,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,833
192,181.0,Main-Taunus,6,51985,35493,10588,20295,4272,26373,,4179,2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,182.0,Frankfurt am Main I,6,31163,41604,7909,16369,12562,26922,,2094,,,,,,,,,,143,,,,,,,,,,2052,,,,,,,,,,,,2685,,,,,,,,
194,183.0,Frankfurt am Main II,6,38995,40431,7990,19766,10629,50230,,2478,,,,,,,,,,186,,,,,,,,,,2547,,,,,,,,,,,,,,,,,,,,
195,184.0,Groß-Gerau,6,35334,42598,10880,10726,5047,14890,,3470,2430,,,,,,,,,127,,,,,,,,,,1834,,,,,,,,,,,,,,,,,,,,
196,185.0,Offenbach,6,43347,41035,11851,14828,7497,26229,,3733,2029,,,1157,,,,,,,,,,,,,,,,2481,,,,,,,,,,,,1534,,,,,,,,
197,186.0,Darmstadt,6,42351,51046,11210,17192,9332,44364,,3237,3680,,,,,,,,,269,,,,,,,,,,3129,,,,,,,,,,,,,,,,,,,,644
198,187.0,Odenwald,6,49367,57172,14963,17110,5991,21630,,5003,,,,,,,,,,,,,,,,,,,,3699,,,,,,,,,,,,1602,,,,,,,,273
199,188.0,Bergstraße,6,46125,41124,14351,16175,4149,20955,,4287,,,,,,,,,,,,,,,,,,,,2748,,,,,,,,,,,951,,,,,,,,,385
201,189.0,Eichsfeld – Nordhausen – Kyffhäuserkreis,16,40599,34010,34645,10348,16586,5901,,3981,3076,,,,849,,,,,366,,,,,,,,,,2129,,,,,,,,,,,,,,,,,,,,
202,190.0,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,16,35415,36729,38166,8869,17216,5447,,5529,2502,,,,567,,,,,431,,,,,,,,,,3007,,,,,,130,,,,,,,,,,,,,,
203,191.0,Jena – Sömmerda – Weimarer Land I,16,28170,30673,29578,10686,25741,14656,,6018,3816,,,,,,,,,341,,,,,,,,,,2364,,,,,,208,,,,,,,,,,,,,,
204,192.0,Gotha – Ilm-Kreis,16,25918,33085,37249,9494,15579,6498,,5622,2783,,,,,,,,,411,,,,,,,,,,2435,,,,,,,,,,,,,,,,,961,,549,
205,193.0,Erfurt – Weimar – Weimarer Land II,16,28639,40185,27235,12309,26972,19483,,,4932,,,,,,,,,649,,,,,,,,,,4258,,,,,,,,,,,,,,,,,,,,
206,194.0,Gera – Greiz – Altenburger Land,16,33067,36760,48034,14273,19421,6293,,,,,,,,,,,,772,,,,,,,,,,2887,,,,,,,,,,,,,,,,,,,,4123
207,195.0,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,16,34489,30791,48177,12343,19968,6292,,5143,3526,,,,451,,,,,462,,,,,,,,,,2852,,,,,,,,,,,,,,,,,,,,
208,196.0,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,16,37729,56791,35887,10686,14135,3615,,4897,2247,,,1313,848,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371
210,197.0,Neuwied,7,57430,54320,16810,15931,5005,16559,,8032,2776,,,,,,,,,,,,,,,,,,,2177,,,,,,,,,,,545,,,,,,,,,194
211,198.0,Ahrweiler,7,50281,44325,10823,12124,3537,15553,,6942,,,,,686,,,,,,,,,,,,,,,1878,,,,,,,,,,,,,,,,,,,,456
212,199.0,Koblenz,7,46073,43416,9753,11179,4054,17980,,7028,2354,,,,614,,,,,,,,,,,,,,,1758,,,,,,,,,,,,694,,,,,,,,409
213,200.0,Mosel/Rhein-Hunsrück,7,45364,35570,10646,15664,,12833,,7609,,,,,976,,,,,,,,,,,,,,,2334,,,,,,,,,,,,1124,,,,,,,,249
214,201.0,Kreuznach,7,39589,44976,12972,9753,4294,9958,,7648,1837,,,,1718,,,,,,,,,,,,,,,1997,,,,,,226,,,,,,771,,,,,,,,362
215,202.0,Bitburg,7,46340,33632,7947,9011,2875,8512,,10566,1619,,,,659,,,,,,,,,,,,,,,1436,,,,,,,,,,,,,,,,,,,,
216,203.0,Trier,7,40299,47942,8230,10135,5126,18939,,7521,2174,,,,657,,,,,,,,294,,,,,,,1730,,,,,,,,,,,595,967,,,,,,,,824
217,204.0,Montabaur,7,48607,50975,14090,15101,4483,14176,,8954,2887,,,,,,,,,,,,,,,,,,,2384,,,,,,,,,,,,,,,,,,,,336
218,205.0,Mainz,7,47153,49878,10360,14408,24863,37319,,4751,1841,,,1118,1444,,,,,,,,,,,486,,,,2093,,,,,,,,,,,,2133,,,,,,,,2154
219,206.0,Worms,7,52827,49748,16043,12966,5070,15949,,5762,,,,,726,,,,,,,,,,,,,,,3134,,,,,,,,,,,,1367,,,,,,,,553
220,207.0,Ludwigshafen/Frankenthal,7,38193,50108,17740,13688,4648,17061,,7411,,,,,,,,,,157,,,,,,,,,,1947,,,,,,193,,,,,,,,,,,,,,1643
221,208.0,Neustadt – Speyer,7,51770,48158,17204,14624,4535,20869,,9698,,,,,,,,,,,,,,,,,,,,2722,,,,,,,,,,,,1268,,,,,,,,802
222,209.0,Kaiserslautern,7,35803,56523,20002,11870,6753,14589,,12225,2154,3197,,,,,,,,,,,,,,,,,,2159,,,,,,154,,,,,,801,,,,,,,,567
223,210.0,Pirmasens,7,39236,39711,16512,9895,3678,7891,,5990,1999,3271,,,,,,,,,,,,,,,,,,1654,,,,,,,,,,,,466,,,,,,,,163
224,211.0,Südpfalz,7,47860,47901,16658,17011,5222,19058,,6388,1923,3019,,,582,,,,,,,,,,,,,,,2388,,,,,,,,,,,,829,,,,,,,,793
226,212.0,Altötting,9,,14620,14220,9245,3155,11145,55693,13049,,,,,2509,,,1416,,,,,,,,,,,,3509,,,,,,,,,,,,,,,,,,,,
227,213.0,Erding – Ebersberg,9,,24205,11448,13226,3355,24840,70656,12157,,,,,2306,,,2054,,,,,,,,,,,,2958,,,,,,,,,,,,,,,,,,,,
228,214.0,Freising,9,,25950,18042,14687,3898,24058,69689,23223,2165,,,,3039,910,,1678,,,,,,,,,,,,4795,,,,,,,,,,,,631,,,,,,,,
229,215.0,Fürstenfeldbruck,9,,36831,13056,16029,3216,25363,72721,13085,2384,,,,2122,,,,,,,,,,,,,,,5075,,,,,,,,,,,,1408,,,,,,,,
230,216.0,Ingolstadt,9,,25954,17806,10877,4648,18182,83663,15515,2315,,,,2438,,,1861,,,,,,,,,,,,2969,,,,,,,,,,,,,,,,,,,,
231,217.0,München-Nord,9,,38172,7591,19477,6216,42319,44854,3969,1562,2072,,,1862,324,,563,,60,,,,,41,,,402,,2540,,,,,,,,,,,,2410,,,,,,,,237
232,218.0,München-Ost,9,,38243,8066,18104,4907,42367,61159,5041,1714,2501,,,1930,,,579,,,,,,,51,,,,,2432,152,,,,,,,,,2526,,1630,,,,,,,,1650
233,219.0,München-Süd,9,,33924,7641,16437,6236,47256,46059,4464,2060,2610,,,2532,,,,,109,,,,,133,,,,,2668,,,,,,,,,,,,,,,,,,,,
234,220.0,München-West/Mitte,9,,39182,7594,19153,6975,53174,53311,5058,1804,3096,,,1557,365,,,,,,,,,72,,,391,,3059,,,,,,,,,,,,2144,,,,,,,,382
235,221.0,München-Land,9,,30237,9816,18180,3685,40475,77523,7791,1928,2555,,,2086,,,1136,,,,,,,,,,,,2880,,,,,,,,,,,,,,,,,,,,
236,222.0,Rosenheim,9,,22869,15764,17682,4091,26183,68670,16869,2466,,,,3698,,,2584,,,,,,,119,,,,,9069,,,,,,,,,,,,,,,,,,,,
237,223.0,Bad Tölz-Wolfratshausen – Miesbach,9,,15428,,11636,2643,20829,55501,14146,1949,,,,2077,,,4992,,,,,,,,,,,,5140,,,,,,,,,,,,,,,,,,,,
238,224.0,Starnberg – Landsberg am Lech,9,,23985,10715,16585,3701,35809,68617,9035,2333,,,,1972,721,,,,,,,,,,,,,,5365,,,,,,,,,,,,982,,,,,,,,
239,225.0,Traunstein,9,,27644,12671,12268,3537,17219,59555,18572,1857,,,,2372,,,2160,,,,,,,,,,,,4115,,,,,,295,,,,,,,,,,,,,,329
240,226.0,Weilheim,9,,19682,9686,8553,2718,16300,57179,10100,,,,,4205,,,2405,,,,,,,,,,,,4301,,,,,,,,,,,,500,,,,,,,,966
241,227.0,Deggendorf,9,,19527,17432,6325,1895,6890,47267,19718,905,,,459,1144,410,,2660,,,,,,,,,,,,1870,,,,,,,,,,,,,,,,,,,,
242,228.0,Landshut,9,,22468,19184,22774,3955,21811,70685,20072,,3615,,,2888,,,2241,,,,,,,,,,,,2796,,,,,,,,,,,,,,,,,,,,1461
243,229.0,Passau,9,,28341,16215,10513,2681,12098,41530,17180,1235,,,,3876,,,,,,,,,,,244,,,,1567,,,,,,,,,,,,,,,,,,,,
244,230.0,Rottal-Inn,9,,15794,16808,10210,1912,10188,46493,22158,1106,,,,2647,,,2746,,,,,,,,,,,,2385,,,,,,,,,,,,,,,,,,,,
245,231.0,Straubing,9,,16312,16794,6895,1936,8613,58487,15115,1506,,,,2467,,,1294,,,,,,,,,,,,1503,,,,,,,,,,570,,,,,,,,,,586
246,232.0,Amberg,9,,27476,17822,10213,4158,13908,69278,20855,,,,,3247,,,,,,,,,,,,,,,2902,,,,,,,,,,,,,,,,,,,,2138
247,233.0,Regensburg,9,,32850,16557,13754,6023,30333,69842,17906,2734,,,,2927,,,1745,,,,,,,,,,,,2567,,,,,,90,,,,,,,,,,,,,,384
248,234.0,Schwandorf,9,,39615,23142,7341,3043,7934,60924,27381,,,,,1747,515,,,,,,,,,,,,,,1846,,,,,,267,,,,,,,,,,,,,,
249,235.0,Weiden,9,,29573,13523,6303,2315,6633,50575,9306,,,,,860,,,771,,,,,,,,,,,,1458,,,,,,,,,,,,,,,,,,,,10107
250,236.0,Bamberg,9,,28123,13279,9821,3625,22728,54726,8708,1627,,,,1287,,,491,,179,,,,,,,,,,2361,,,,,,,,,,,,726,,,,,,,,114
251,237.0,Bayreuth,9,,24840,10777,9182,2577,14064,54465,7754,1709,,,,934,,,,,,,,,,,,,,,2028,,,,,,,,,,,,,,,,,,,,
252,238.0,Coburg,9,,32056,11878,6369,2337,10581,44890,9235,1872,,,,1418,,,222,,83,,,,,,,,,,2002,,,,,,,,,,,,,,,,,,,,
253,239.0,Hof,9,,29763,14705,6493,2651,7941,51312,7202,1969,,,,508,,,,,,,,,,,,,,,1498,314,,,,,,,,,,,,,,,,,,,99
254,240.0,Kulmbach,9,,22103,14416,6480,2448,10165,65163,10430,1954,,,,871,,,619,,,,,,,,,,,,1748,,,,,,,,,,,,,,,,,,,,
255,241.0,Ansbach,9,,33819,18418,13016,3798,21343,73312,16592,,,447,2180,2902,,,,,,,,,,,,,,,5167,,,,,,,,,,,,,,,,,,,,
256,242.0,Erlangen,9,,32036,10669,10382,,29923,54223,7888,2578,,,1259,2080,,,,,188,,,,,,,,,,2619,,,,,,,,,,,,,,,,,,,,586
257,243.0,Fürth,9,,47153,16858,12883,6221,27111,65876,10340,3090,,,,1685,,,507,,,,,,,,416,,,,3750,,,,,,,,,,,,611,,,,,,,,
258,244.0,Nürnberg-Nord,9,,31616,8485,10882,7726,32541,41027,4286,,,,1849,1813,,,,,149,,,,,,,,,,2777,,,,,,,,,,,,856,,,,,,,,199
259,245.0,Nürnberg-Süd,9,,31098,13123,8777,5184,15566,44192,5897,,,,,1562,,,,,,,,,,,,,,,2491,,,,,,,,,,,,533,,,,,,,,
260,246.0,Roth,9,,31806,14944,12596,5076,25140,71478,16528,2149,,,1696,1534,,,,,,,,,,,,,,,4720,,,,,,185,,,,,,,,,,,,,,431
261,247.0,Aschaffenburg,9,,24893,13954,11683,3536,19588,59269,5087,2022,,,,1580,,,516,,157,,,,,,,,,,2412,,,,,,490,,,,,,,,,,,,,,351
262,248.0,Bad Kissingen,9,,32844,17130,12206,4475,16467,67458,14102,2438,,,,1266,,,,,,,,,,,,,,,3783,,,,,,,,,,,,,,,,,,,,371
263,249.0,Main-Spessart,9,,33700,12576,9514,4070,15813,60489,15774,,,,,1414,,,,,,,,,,,,,,,3195,,,,,,240,,,,,,,,,,,,,,
264,250.0,Schweinfurt,9,,29037,15468,12408,6552,14747,63697,7761,,,,,1229,,,863,,167,,,,,,,,,,2758,,,,,,,,,,,1116,,,,,,,,,
265,251.0,Würzburg,9,,33125,,19414,7522,36295,67651,9440,,,,,2501,,,,,,,,,,,774,,,,4898,,,,,,,,,,,,,,,,,,,,1884
266,252.0,Augsburg-Stadt,9,,27453,13431,12880,7168,31347,42780,6540,2395,,,,1637,954,,645,,166,,,,,,,,,,3399,,,,,,,,,,,,697,,,,,,,,819
267,253.0,Augsburg-Land,9,,29435,19660,16032,3573,24806,82423,19230,,,,,3100,,,,,,,,,,,,,,,4693,,,,,,,,,,,,,,,,,,,,135
268,254.0,Donau-Ries,9,,29872,15723,9915,3048,11076,64045,14834,,,,,1420,966,,,,,,,,,,,,,,3895,,,,,,294,,,,,836,,,,,,,,,
269,255.0,Neu-Ulm,9,,29960,22517,14542,3466,20621,69676,13964,,3980,,1707,1776,,,,,,,,,,,,,,,3782,,,,,,,,,,,,900,,,,,,,,443
270,256.0,Oberallgäu,9,,28401,14473,23604,4911,27817,53566,16181,2269,,,,2233,731,,,,,,,,,,,,,,5508,,,,,,,,,,,,,,,,,,,,444
271,257.0,Ostallgäu,9,,24288,20021,14258,6667,24128,76399,17819,2340,,,,3120,782,,,,,,,,,,,,,,7303,,,,,,,,,,,,,,,,,,,,
273,258.0,Stuttgart I,8,36605,20012,6295,16504,6447,62594,,1281,1684,1528,,,,,213,,,125,,,,,34,256,,,,1985,,216,,,,,,,,,,877,,,,,,,,26
274,259.0,Stuttgart II,8,34312,27224,9603,14678,6294,31446,,1833,1674,1763,,,,,,,,189,,,,,28,220,,,,1778,,317,,,,,,,,,,732,,,,,,,,373
275,260.0,Böblingen,8,57504,40844,16175,32184,4548,30211,,4790,1815,,,,783,,320,,,170,,,,,,,,,,2856,,,,,,,,,,,,665,,,,,,,,929
276,261.0,Esslingen,8,41976,28501,9123,16011,3477,24058,,2844,1758,,,,,,,,,206,,,,,,306,,,,2256,,,,,,,,,,,,504,,,,,,,,
277,262.0,Nürtingen,8,49506,34617,13597,22765,3970,29619,,3948,2428,,,,,,513,,,95,,,,,,,,,,3417,,,,,,,,,,,,,,,,,,,,
278,263.0,Göppingen,8,41558,31824,15818,16481,2958,15932,,4394,2033,,,,,,,,,170,,,,,,,,,,2839,,,,,,,,,,,,,,,,,,,,
279,264.0,Waiblingen,8,50566,39642,15196,27123,4464,26224,,3280,2381,,,,,,460,,,156,,,,,,,,,,4257,,,,,,,,,,,,658,,,,,,,,
280,265.0,Ludwigsburg,8,50297,31409,14392,23891,4886,34663,,3803,2114,,,,929,,,,,,,,,,,,,,,2960,,,,,,,,,,,,684,,,,,,,,515
281,266.0,Neckar-Zaber,8,56249,41708,18478,22792,4357,29015,,4218,2601,,,,1058,,610,,,,,,,,,,,,,3655,,,,,,,,,,,,,,,,,,,,310
282,267.0,Heilbronn,8,50299,43887,23093,24748,4237,23018,,4595,2988,,,,,,,,,225,,,,,,497,,,,3354,,,,,,,,,,,,,,,,,,,,
283,268.0,Schwäbisch Hall – Hohenlohe,8,54894,33568,20579,19941,4090,25825,,3460,2425,,,,1239,,,,,182,,,,,,,,,,4923,,,,,,,,,,,,,,,,,,,,
284,269.0,Backnang – Schwäbisch Gmünd,8,41176,32904,15802,16198,3929,15587,,3286,2308,,,,,,,,,138,,,,,,,,,,3673,,,,,,,,,,,,,,,,,,,,
285,270.0,Aalen – Heidenheim,8,61832,36501,16988,15708,3905,20364,,4477,2313,,,,,,,,,189,,,,,,,,,,4114,,,,,,,,,,,,542,,,,,,,,
286,271.0,Karlsruhe-Stadt,8,30921,33630,10811,15793,7956,47473,,1723,2811,,,,605,,,,,162,,,,,,749,,,,3152,452,,,,,,,,,,,1547,,,,,,456,,
287,272.0,Karlsruhe-Land,8,50581,37948,14963,19066,4040,27755,,4358,2437,,,,562,,,,,,,,,,,496,,,,3505,,,,,,,,,,,,,,,,,,,,548
288,273.0,Rastatt,8,50988,34847,16455,17764,4212,19962,,4477,,,,,,,,,,,,,,,,,,,,3557,,,,,,,,,,,,772,,,,,,486,,75
